IDADE,SEXO,CÓD.,SIGLA,LOCAL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
0,Ambos,0,BR,Brasil,3423475,3347313,3274356,3212295,3163041,3123546,3095244,3013232,2984981,2968870,2918162,2922648,2935674,2922850,2952907,3012970,2948637,2883226,2920425,2885318,2777978,2688491,2597799,2527241,2484344,2431971,2386874,2346516,2310023,2277579,2248982,2222783,2198245,2175399,2154526,2135115,2116131,2096926,2078343,2060737,2043253,2025224,2006805,1988681,1970850,1952779,1934024,1914865,1895555,1875672,1855064,1833975,1812765,1791035,1768271,1744864,1721915,1700174,1678628,1656669,1635347,1615589,1597609,1580751,1564427,1549026,1534801,1521584,1509151,1497237,1485716
1,Ambos,0,BR,Brasil,3450022,3406966,3332612,3261091,3200484,3152623,3114345,3087163,3005979,2978318,2958122,2902678,2910301,2925710,2913563,2943154,3002376,2937001,2870232,2910089,2879163,2772134,2680031,2587620,2519770,2477769,2426282,2382021,2342453,2306725,2275013,2246849,2220700,2196201,2173391,2152558,2133170,2114220,2095037,2076482,2058897,2041452,2023485,2005112,1987041,1969262,1951239,1932531,1913420,1894153,1874314,1853749,1832699,1811533,1789840,1767114,1743744,1720831,1699126,1677614,1655686,1634395,1614666,1596716,1579885,1563579,1548205,1534002,1520805,1508394,1496496
2,Ambos,0,BR,Brasil,3461038,3444450,3401900,3327924,3256791,3196543,3149015,3111038,3084081,3003124,2972125,2948274,2895233,2904628,2920488,2907915,2936667,2995070,2928703,2863990,2906676,2876276,2767175,2673622,2583366,2516128,2474683,2423745,2380000,2340927,2305679,2274237,2246071,2219920,2195411,2172594,2151751,2132355,2113393,2094206,2075638,2058060,2040638,2022691,2004339,1986288,1968526,1950525,1931835,1912741,1893493,1873673,1853126,1832096,1810943,1789265,1766560,1743207,1720312,1698618,1677119,1655206,1633932,1614217,1596273,1579457,1563166,1547800,1533609,1520415,1508015
3,Ambos,0,BR,Brasil,3469109,3458052,3441638,3399284,3325501,3254582,3194489,3147097,3109229,3082358,2998921,2965164,2943133,2891454,2901225,2916787,2903600,2931742,2989393,2924609,2862071,2904924,2873055,2762809,2670309,2580521,2513700,2472629,2422059,2378663,2339922,2304869,2273424,2245256,2219102,2194592,2171767,2150923,2131520,2112549,2093350,2074792,2057237,2039837,2021912,2003581,1985549,1967809,1949823,1931153,1912076,1892846,1873045,1852515,1831500,1810359,1788702,1766017,1742677,1719797,1698118,1676639,1654738,1633474,1613776,1595841,1579039,1562761,1547399,1533216,1520035
4,Ambos,0,BR,Brasil,3477903,3466901,3455987,3439662,3397467,3323811,3253080,3193054,3145729,3107906,3079235,2993806,2961429,2940420,2889030,2898606,2913739,2900133,2927764,2986627,2923442,2861079,2902777,2869950,2760203,2668025,2578548,2512000,2471172,2420847,2377678,2339077,2304026,2272579,2244420,2218258,2193747,2170921,2150073,2130661,2111688,2092497,2073963,2056429,2039050,2021146,2002834,1984824,1967099,1949133,1930480,1911423,1892208,1872427,1851909,1830912,1809791,1788148,1765483,1742156,1719290,1697627,1676166,1654275,1633030,1613338,1595416,1578625,1562356,1547006,1532831
5,Ambos,0,BR,Brasil,3482383,3476170,3465223,3454378,3438144,3396051,3322480,3251845,3191879,3144603,3105497,3075406,2991054,2959488,2938702,2887151,2896420,2911243,2897307,2925930,2985940,2922847,2859704,2900667,2868269,2758743,2666758,2577467,2511074,2470390,2420215,2377124,2338521,2303463,2272007,2243841,2217675,2193153,2170312,2149459,2130035,2111063,2091893,2073370,2055855,2038489,2020601,2002302,1984307,1966593,1948643,1930000,1910960,1891761,1871984,1851482,1830494,1809385,1787753,1765101,1741784,1718926,1697279,1675827,1653945,1632712,1613027,1595110,1578328,1562067,1546730
6,Ambos,0,BR,Brasil,3483305,3480986,3474808,3463880,3453086,3436902,3394848,3321316,3250755,3190854,3142684,3102599,3073336,2989627,2958255,2937377,2885589,2894669,2909262,2896117,2925642,2985621,2921952,2858369,2899828,2867537,2758125,2666237,2577041,2510723,2470113,2419983,2376876,2338256,2303180,2271709,2243527,2217344,2192807,2169950,2149075,2129649,2110691,2091526,2073018,2055508,2038152,2020274,2001983,1983998,1966287,1948350,1929710,1910679,1891487,1871717,1851225,1830238,1809138,1787514,1764871,1741558,1718705,1697066,1675620,1653744,1632515,1612838,1594921,1578149,1561890
7,Ambos,0,BR,Brasil,3481824,3481990,3479710,3473563,3462682,3451949,3435801,3393781,3320278,3249779,3189308,3140482,3101045,3072280,2988744,2957317,2936263,2884336,2893291,2908495,2896046,2925584,2985097,2921055,2857838,2899330,2867092,2757732,2665892,2576739,2510453,2469863,2419719,2376598,2337963,2302877,2271388,2243188,2216987,2192439,2169564,2148690,2129271,2110325,2091168,2072668,2055167,2037817,2019949,2001671,1983691,1965987,1948054,1929427,1910403,1891216,1871459,1850971,1829989,1808898,1787281,1764644,1741336,1718492,1696856,1675416,1653547,1632320,1612649,1594737,1577972
8,Ambos,0,BR,Brasil,3471642,3480576,3480773,3478521,3472428,3461600,3450903,3434770,3392781,3319308,3248477,3187607,3139299,3100253,3071632,2988078,2956546,2935396,2883426,2892872,2908569,2896114,2925348,2984582,2920714,2857517,2899006,2866783,2757437,2665607,2576459,2510177,2469576,2419428,2376292,2337645,2302545,2271039,2242825,2216612,2192049,2169170,2148311,2128905,2109964,2090816,2072320,2054830,2037489,2019632,2001360,1983387,1965692,1947767,1929143,1910130,1890951,1871201,1850718,1829749,1808662,1787051,1764420,1741120,1718282,1696650,1675215,1653352,1632128,1612466,1594559
9,Ambos,0,BR,Brasil,3459836,3470450,3479410,3479633,3477421,3471374,3460592,3449923,3433792,3391830,3318159,3247137,3186661,3138675,3099743,3071120,2987496,2955921,2934783,2883251,2893042,2908724,2896047,2925072,2984378,2920492,2857285,2898746,2866517,2757161,2665312,2576164,2509872,2469261,2419103,2375959,2337295,2302185,2270670,2242444,2216216,2191654,2168782,2147935,2128539,2109612,2090474,2071981,2054498,2037169,2019319,2001059,1983091,1965406,1947486,1928868,1909864,1890693,1870946,1850471,1829511,1808427,1786827,1764202,1740905,1718076,1696446,1675016,1653160,1631941,1612282
